hexcode,rgb,red,green,blue,divisor,red_2,green_2,blue_2
#eeefef,"rgb(238,239,239)",238,239,239,255,0.9333333333,0.937254902,0.937254902
#0a1324,"rgb(10,19,36)",10,19,36,255,0.03921568627,0.07450980392,0.1411764706
#0464bc,"rgb(4,100,188)",4,100,188,255,0.01568627451,0.3921568627,0.737254902
#5dc4f4,"rgb(93,196,244)",93,196,244,255,0.3647058824,0.768627451,0.9568627451
#5e8dca,"rgb(94,141,202)",94,141,202,255,0.368627451,0.5529411765,0.7921568627
#995d36,"rgb(153,93,54)",153,93,54,255,0.6,0.3647058824,0.2117647059
#d09760,"rgb(208,151,96)",208,151,96,255,0.8156862745,0.5921568627,0.3764705882
#5f6a7b,"rgb(95,106,123)",95,106,123,255,0.3725490196,0.4156862745,0.4823529412
#2098e1,"rgb(32,152,225)",32,152,225,255,0.1254901961,0.5960784314,0.8823529412
#132878,"rgb(19,40,120)",19,40,120,255,0.07450980392,0.1568627451,0.4705882353
#0484e4,"rgb(4,132,228)",4,132,228,255,0.01568627451,0.5176470588,0.8941176471
#2fbdf1,"rgb(47,189,241)",47,189,241,255,0.1843137255,0.7411764706,0.9450980392
#c6dfea,"rgb(198,223,234)",198,223,234,255,0.7764705882,0.8745098039,0.9176470588
#438db8,"rgb(67,141,184)",67,141,184,255,0.262745098,0.5529411765,0.7215686275
#5d7994,"rgb(93,121,148)",93,121,148,255,0.3647058824,0.4745098039,0.5803921569
#052d56,"rgb(5,45,86)",5,45,86,255,0.01960784314,0.1764705882,0.337254902
#9cacbc,"rgb(156,172,188)",156,172,188,255,0.6117647059,0.6745098039,0.737254902
#8da4b4,"rgb(141,164,180)",141,164,180,255,0.5529411765,0.6431372549,0.7058823529
#3c5a7a,"rgb(60,90,122)",60,90,122,255,0.2352941176,0.3529411765,0.4784313725
#0a5b8f,"rgb(10,91,143)",10,91,143,255,0.03921568627,0.3568627451,0.5607843137
#1d70a0,"rgb(29,112,160)",29,112,160,255,0.1137254902,0.4392156863,0.6274509804
#0a4d7a,"rgb(10,77,122)",10,77,122,255,0.03921568627,0.3019607843,0.4784313725
